length,representation,representation_label,n_cells,l2_delta_mean,paired_cosine_mean,retrieval_top1_mean,n_features
50,ck4,CK4,6,0.2938682965663111,0.9416920071379984,1.0,136
50,ck4_msp,CK4+MSP,6,0.2106767829658155,0.9701635233090599,1.0,211
50,ck4_p,CK4+P,6,0.2103236134517307,0.9702267140984056,1.0,147
50,ck4_p_msp,CK4P-MSP,6,0.17403856059076003,0.9796961558923107,1.0,222
50,msp,MSP,6,0.04362228290938955,0.9986350394801211,0.8575396825396826,75
50,p,P,6,0.03469616482257326,0.9987614210588127,0.2892857142857143,11
50,p_msp,P+MSP,6,0.04169635709360663,0.998698230269467,0.8464285714285714,86
51,ck4,CK4,6,0.2851541114891641,0.9445402081914102,1.0,136
51,ck4_msp,CK4+MSP,6,0.20441499925449694,0.9716256216690912,1.0,211
51,ck4_p,CK4+P,6,0.20412133162515067,0.9716723550853171,1.0,147
51,ck4_p_msp,CK4P-MSP,6,0.16889395734806087,0.9806852484391354,1.0,222
51,msp,MSP,6,0.04245048974852886,0.9987110351467722,0.8742063492063492,75
51,p,P,6,0.03407220569587617,0.9988045019792241,0.28452380952380957,11
51,p_msp,P+MSP,6,0.04078438899586005,0.998757768562998,0.8698412698412699,86
52,ck4,CK4,6,0.282288774683455,0.9459497055688503,1.0,136
52,ck4_msp,CK4+MSP,6,0.20235166686952835,0.9723484992575105,1.0,211
52,ck4_p,CK4+P,6,0.20202311359444183,0.9723983373744977,1.0,147
52,ck4_p_msp,CK4P-MSP,6,0.16715434516350722,0.9811813225650553,1.0,222
52,msp,MSP,6,0.04175628828255462,0.9987472929461707,0.875,75
52,p,P,6,0.03336180616491167,0.9988469691801448,0.2884920634920635,11
52,p_msp,P+MSP,6,0.040081645880274894,0.9987971310631578,0.8686507936507937,86
53,ck4,CK4,6,0.2822191099604993,0.9465432155435697,1.0,136
53,ck4_msp,CK4+MSP,6,0.20204699281296654,0.9726926982960954,1.0,211
53,ck4_p,CK4+P,6,0.2019294720044391,0.9727089009095927,1.0,147
53,ck4_p_msp,CK4P-MSP,6,0.16686984507764632,0.981419994289269,1.0,222
53,msp,MSP,6,0.040380217233434705,0.9988421810486212,0.8976190476190476,75
53,p,P,6,0.03315441080076229,0.998874586275616,0.27936507936507937,11
53,p_msp,P+MSP,6,0.03903738395086091,0.9988583836621187,0.8777777777777778,86
54,ck4,CK4,6,0.28083037738631894,0.9477193259108043,1.0,136
54,ck4_msp,CK4+MSP,6,0.20123305442398323,0.9732663956654051,1.0,211
54,ck4_p,CK4+P,6,0.200895570863193,0.973318239500167,1.0,147
54,ck4_p_msp,CK4P-MSP,6,0.16616418485494808,0.9818166481401133,1.0,222
54,msp,MSP,6,0.0408945595561955,0.9988134654200058,0.8694444444444445,75
54,p,P,6,0.03239481979198449,0.9989171530895297,0.2873015873015873,11
54,p_msp,P+MSP,6,0.03916670581278595,0.9988653092547678,0.8603174603174604,86
55,ck4,CK4,6,0.27581827646510554,0.948923509425259,1.0,136
55,ck4_msp,CK4+MSP,6,0.19752013540290903,0.9739105478667508,1.0,211
55,ck4_p,CK4+P,6,0.1973287644982713,0.9739373548200628,1.0,147
55,ck4_p_msp,CK4P-MSP,6,0.16311360832344557,0.9822574319827894,1.0,222
55,msp,MSP,6,0.039288456340196475,0.9988975863082424,0.8888888888888888,75
55,p,P,6,0.03189232065568633,0.9989512002148667,0.29404761904761906,11
55,p_msp,P+MSP,6,0.0378842119495354,0.9989243932615546,0.8829365079365079,86
56,ck4,CK4,6,0.275867589531999,0.9490628468224983,1.0,136
56,ck4_msp,CK4+MSP,6,0.197483622550078,0.9739971803022337,1.0,211
56,ck4_p,CK4+P,6,0.1972673985126389,0.9740233409944272,1.0,147
56,ck4_p_msp,CK4P-MSP,6,0.1630104857560218,0.9823260652569412,1.0,222
56,msp,MSP,6,0.038817247057918815,0.9989315137819692,0.8912698412698412,75
56,p,P,6,0.03143981415387185,0.9989838351663565,0.2904761904761905,11
