clean_read_id,label,genus,species,template_start,template_end
Acinetobacter_baumannii_L150_R0002,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,427547,427697
Acinetobacter_baumannii_L150_R0008,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,287333,287483
Acinetobacter_baumannii_L150_R0012,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,83128,83278
Acinetobacter_baumannii_L150_R0014,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,397847,397997
Acinetobacter_baumannii_L150_R0017,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,56022,56172
Acinetobacter_baumannii_L150_R0025,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,309052,309202
Acinetobacter_baumannii_L150_R0026,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,172886,173036
Acinetobacter_baumannii_L150_R0028,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,64146,64296
Acinetobacter_baumannii_L150_R0029,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,39032,39182
Acinetobacter_baumannii_L150_R0032,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,162139,162289
Acinetobacter_baumannii_L150_R0036,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,309327,309477
Acinetobacter_baumannii_L150_R0038,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,248225,248375
Acinetobacter_baumannii_L150_R0041,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,10875,11025
Acinetobacter_baumannii_L150_R0042,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,219342,219492
Acinetobacter_baumannii_L150_R0053,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,421484,421634
Acinetobacter_baumannii_L150_R0057,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,169602,169752
Acinetobacter_baumannii_L150_R0064,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,174772,174922
Acinetobacter_baumannii_L150_R0069,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,187567,187717
Acinetobacter_baumannii_L150_R0075,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,434718,434868
Acinetobacter_baumannii_L150_R0076,Acinetobacter_baumannii,Acinetobacter,Acinetobacter baumannii,326628,326778
Acinetobacter_calcoaceticus_L150_R0008,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,206905,207055
Acinetobacter_calcoaceticus_L150_R0013,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,289274,289424
Acinetobacter_calcoaceticus_L150_R0014,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,127172,127322
Acinetobacter_calcoaceticus_L150_R0016,Acinetobacter_calcoaceticus,Acinetobacter,Acinetobacter calcoaceticus,356516,356666
