method,method_label,repeat,order_in_round,phase,n_reads,n_features,elapsed_seconds,milliseconds_per_10000_reads,reads_per_second,checksum
ck4,CK4,1,1,single_scaling_pass,100000,136,9.19297629990615,919.297629990615,10877.869879967046,31.753524559179414
ck4_p,CK4+P,1,2,single_scaling_pass,100000,147,11.663395599927753,1166.3395599927753,8573.83247813522,30.215272874302045
ck4p_msp,CK4P-MSP,1,3,single_scaling_pass,100000,222,13.091102899983525,1309.1102899983525,7638.775797883755,40.24848735500772
ck4p_msp_pkm,CK4P-MSP-PKM,1,4,single_scaling_pass,100000,297,21.16271199984476,2116.271199984476,4725.292297165579,40.60546330912575
hash_k15_d222,"Hashed k=15, d=222",1,5,single_scaling_pass,100000,222,30.190061900066212,3019.0061900066207,3312.3482929917636,-1.5706004699021952
minhash_k15_s222,"MinHash k=15, s=222",1,6,single_scaling_pass,100000,222,30.98459760006517,3098.459760006517,3227.4099954678663,5.378783007443744e+18
rp_ck15_d222,"CK15 random projection, d=222",1,7,single_scaling_pass,100000,222,44.488586199935526,4448.858619993553,2247.7675408832147,0.6943113627639532
pseknc_k3_l3,"PseKNC (k=3, lambda=3)",1,8,single_scaling_pass,100000,67,246.17748419987038,24617.748419987038,406.21099173639476,24.546997124084605
ncp_anf,NCP+ANF,1,9,single_scaling_pass,100000,300,6.010094000026584,601.0094000026584,16638.674869237933,62.83250526054033
pseeiip,PseEIIP,1,10,single_scaling_pass,100000,64,4.377232200000435,437.7232200000435,22845.486698190252,27.034905987635135
