fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes
1,contract_logistic,0.5873015873015873,0.5811038541068875,136,225,63,25,7,50,ck4,288,32,3
1,nearest_centroid,0.6031746031746031,0.5982905982905983,136,225,63,25,7,50,ck4,288,32,3
2,contract_logistic,0.6825396825396826,0.6673591545955585,136,225,63,25,7,50,ck4,288,32,3
2,nearest_centroid,0.6349206349206349,0.6262323862323862,136,225,63,25,7,50,ck4,288,32,3
3,contract_logistic,0.7037037037037037,0.705105105105105,136,234,54,26,6,50,ck4,288,32,3
3,nearest_centroid,0.6851851851851852,0.6871847924479505,136,234,54,26,6,50,ck4,288,32,3
4,contract_logistic,0.8148148148148148,0.7918902802623734,136,234,54,26,6,50,ck4,288,32,3
4,nearest_centroid,0.6296296296296297,0.6189704293152569,136,234,54,26,6,50,ck4,288,32,3
5,contract_logistic,0.4444444444444444,0.40175899750367833,136,234,54,26,6,50,ck4,288,32,3
5,nearest_centroid,0.37037037037037035,0.3477495016919297,136,234,54,26,6,50,ck4,288,32,3
1,contract_logistic,0.6666666666666666,0.6679042679042678,397,225,63,25,7,50,ckmer5_count_l2,288,32,3
1,nearest_centroid,0.6825396825396826,0.6862702309510821,397,225,63,25,7,50,ckmer5_count_l2,288,32,3
2,contract_logistic,0.6825396825396826,0.6790432485050758,397,225,63,25,7,50,ckmer5_count_l2,288,32,3
2,nearest_centroid,0.7301587301587301,0.7269984917043741,397,225,63,25,7,50,ckmer5_count_l2,288,32,3
3,contract_logistic,0.7037037037037037,0.701058201058201,397,234,54,26,6,50,ckmer5_count_l2,288,32,3
3,nearest_centroid,0.6296296296296297,0.6173759966863415,397,234,54,26,6,50,ckmer5_count_l2,288,32,3
4,contract_logistic,0.7962962962962963,0.781643770015863,397,234,54,26,6,50,ckmer5_count_l2,288,32,3
4,nearest_centroid,0.7777777777777778,0.7692597913310987,397,234,54,26,6,50,ckmer5_count_l2,288,32,3
5,contract_logistic,0.5555555555555556,0.5544467787114846,397,234,54,26,6,50,ckmer5_count_l2,288,32,3
5,nearest_centroid,0.46296296296296297,0.45233918128654965,397,234,54,26,6,50,ckmer5_count_l2,288,32,3
1,contract_logistic,0.4126984126984127,0.3299467827769715,11,225,63,25,7,50,p,288,32,3
1,nearest_centroid,0.38095238095238093,0.3463464346258243,11,225,63,25,7,50,p,288,32,3
2,contract_logistic,0.36507936507936506,0.2912127814088598,11,225,63,25,7,50,p,288,32,3
2,nearest_centroid,0.4126984126984127,0.39183967193075847,11,225,63,25,7,50,p,288,32,3
3,contract_logistic,0.35185185185185186,0.28257575757575754,11,234,54,26,6,50,p,288,32,3
