fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes,label_control,permutation
1,contract_logistic,0.31746031746031744,0.31318222295665904,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,0
1,nearest_centroid,0.38095238095238093,0.3688163688163688,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,0
2,contract_logistic,0.36507936507936506,0.35904863407391213,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,0
2,nearest_centroid,0.3333333333333333,0.3051824964710627,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,0
3,contract_logistic,0.3333333333333333,0.3219417659292872,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,0
3,nearest_centroid,0.2962962962962963,0.29049957135063514,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,0
4,contract_logistic,0.3888888888888889,0.384639498432602,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,0
4,nearest_centroid,0.3148148148148148,0.28621424223980524,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,0
5,contract_logistic,0.3333333333333333,0.31978021978021975,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,0
5,nearest_centroid,0.2777777777777778,0.24953488372093025,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,0
1,contract_logistic,0.3968253968253968,0.39410430839002264,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
1,nearest_centroid,0.36507936507936506,0.3537083731849404,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
2,contract_logistic,0.3492063492063492,0.3392316276103937,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
2,nearest_centroid,0.3333333333333333,0.31122046048235225,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
3,contract_logistic,0.37037037037037035,0.3516075109141958,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
3,nearest_centroid,0.35185185185185186,0.32262200366781896,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
4,contract_logistic,0.3148148148148148,0.3000982469067575,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
4,nearest_centroid,0.2962962962962963,0.2880143112701253,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
5,contract_logistic,0.3333333333333333,0.33304093567251464,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
5,nearest_centroid,0.3148148148148148,0.3049683830171635,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,0
1,contract_logistic,0.36507936507936506,0.35708349859293254,11,225,63,25,7,50,p,288,32,3,within_source_permutation,0
1,nearest_centroid,0.36507936507936506,0.35708349859293254,11,225,63,25,7,50,p,288,32,3,within_source_permutation,0
2,contract_logistic,0.38095238095238093,0.3031196266273643,11,225,63,25,7,50,p,288,32,3,within_source_permutation,0
2,nearest_centroid,0.38095238095238093,0.3031196266273643,11,225,63,25,7,50,p,288,32,3,within_source_permutation,0
3,contract_logistic,0.2777777777777778,0.24910010624296341,11,234,54,26,6,50,p,288,32,3,within_source_permutation,0
3,nearest_centroid,0.2962962962962963,0.2753928170594837,11,234,54,26,6,50,p,288,32,3,within_source_permutation,0
4,contract_logistic,0.35185185185185186,0.30447547440028644,11,234,54,26,6,50,p,288,32,3,within_source_permutation,0
4,nearest_centroid,0.35185185185185186,0.30447547440028644,11,234,54,26,6,50,p,288,32,3,within_source_permutation,0
5,contract_logistic,0.2962962962962963,0.22839506172839505,11,234,54,26,6,50,p,288,32,3,within_source_permutation,0
5,nearest_centroid,0.2962962962962963,0.22839506172839505,11,234,54,26,6,50,p,288,32,3,within_source_permutation,0
1,contract_logistic,0.30158730158730157,0.29086303767154825,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,0
1,nearest_centroid,0.3333333333333333,0.3292651919654208,75,225,63,25,7,50,msp,288,32,3,within_source_permutation,0
