length,representation,classifier,mean_accuracy,sd_accuracy,mean_macro_f1,sd_macro_f1,n_features,n_folds
50,ck4,contract_logistic,0.3296296296296296,0.0398438812965868,0.32154094777497966,0.04120465761203909,136,5
50,ck4,nearest_centroid,0.3186243386243386,0.05286086779134502,0.30428347318250887,0.0544399250153573,136,5
50,ck4p_msp,contract_logistic,0.3346031746031746,0.0526897972884302,0.3240448130468651,0.053588743480659236,222,5
50,ck4p_msp,nearest_centroid,0.3134391534391534,0.054147349545473226,0.30045189832249336,0.05395576814335037,222,5
50,ckmer5_count_l2,contract_logistic,0.31693121693121695,0.04200993784462976,0.30474583116614545,0.047029119511072505,397,5
50,ckmer5_count_l2,nearest_centroid,0.3172486772486772,0.049645308384084236,0.3017225242252575,0.04933809862671397,397,5
50,msp,contract_logistic,0.3441269841269841,0.06100412847209189,0.33793497546121765,0.06491356821391923,75,5
50,msp,nearest_centroid,0.34613756613756613,0.05773664317323327,0.34150300230753594,0.059864302787367756,75,5
50,p,contract_logistic,0.3385185185185185,0.04026961382989215,0.3012746198261593,0.04019992420532477,11,5
50,p,nearest_centroid,0.3356613756613756,0.03747006867972342,0.30365826289641634,0.039223398752090605,11,5
50,p_msp,contract_logistic,0.3458201058201058,0.06038240261454861,0.33814817947042,0.06400069309353185,86,5
50,p_msp,nearest_centroid,0.3494179894179894,0.06143283993512512,0.3434125815461314,0.06332164784199194,86,5
75,ck4,contract_logistic,0.33291005291005293,0.04217399215896512,0.318376655711953,0.04314588368714197,136,5
75,ck4,nearest_centroid,0.3448677248677249,0.046232508336009434,0.3309964911856501,0.0485325419937415,136,5
75,ck4p_msp,contract_logistic,0.3421164021164021,0.04698231958644478,0.32779119818356867,0.0462565452136373,222,5
75,ck4p_msp,nearest_centroid,0.3476190476190476,0.04496057495309544,0.33431255189112297,0.04719331502940225,222,5
75,ckmer5_count_l2,contract_logistic,0.3323809523809524,0.05453244533852191,0.32073979805641073,0.05746799577745853,461,5
75,ckmer5_count_l2,nearest_centroid,0.34042328042328046,0.06306218376278078,0.3271077237193606,0.06257340206752117,461,5
75,msp,contract_logistic,0.34857142857142853,0.05244104297359299,0.3392708907746807,0.055255416110980345,75,5
75,msp,nearest_centroid,0.3495238095238095,0.05665391939382883,0.34132885992433465,0.05795676228515315,75,5
75,p,contract_logistic,0.34253968253968253,0.039778836715437665,0.3135239315090949,0.05450747722328408,11,5
75,p,nearest_centroid,0.34105820105820106,0.039386905822495745,0.3132299925534261,0.05307942124346133,11,5
75,p_msp,contract_logistic,0.34285714285714286,0.04659765860795907,0.3328371396061256,0.04944728487749261,86,5
75,p_msp,nearest_centroid,0.34010582010582013,0.047918663532248384,0.33100759927271184,0.04995498549898645,86,5
100,ck4,contract_logistic,0.3617989417989418,0.05582929954295883,0.3453197976780444,0.056720550284362244,136,5
100,ck4,nearest_centroid,0.3569312169312169,0.05090971821153493,0.34617504859811354,0.05572018140874423,136,5
100,ck4p_msp,contract_logistic,0.3487830687830688,0.056681501935342875,0.3343665126413759,0.05842026473538608,222,5
100,ck4p_msp,nearest_centroid,0.35523809523809524,0.05291291879363663,0.34455734861446785,0.05794314948507115,222,5
100,ckmer5_count_l2,contract_logistic,0.3494179894179894,0.053211881604111895,0.3378116880979472,0.05304303782346927,482,5
100,ckmer5_count_l2,nearest_centroid,0.3492063492063492,0.04814887492910396,0.33745619564891377,0.05109230115015621,482,5
100,msp,contract_logistic,0.32941798941798944,0.06367606348396468,0.32311181616149864,0.06332912930258178,75,5
100,msp,nearest_centroid,0.3296296296296296,0.06922258168180023,0.3246099509814607,0.06865812122020364,75,5
100,p,contract_logistic,0.3304761904761904,0.043153059863588535,0.2959335839291483,0.05059734399481581,11,5
100,p,nearest_centroid,0.3298412698412698,0.035850546775927354,0.29937568556368915,0.04340346570311949,11,5
100,p_msp,contract_logistic,0.3360846560846561,0.0641385735244916,0.32894643695095355,0.06523574722930724,86,5
100,p_msp,nearest_centroid,0.3391534391534391,0.06548621055283894,0.33397623210562316,0.06620013015815195,86,5
150,ck4,contract_logistic,0.3567195767195767,0.06957001328990689,0.3457102431134931,0.07518844944610133,136,5
150,ck4,nearest_centroid,0.3580952380952381,0.04346923923816853,0.3478014101561751,0.04872451392463103,136,5
150,ck4p_msp,contract_logistic,0.36920634920634915,0.0673005335291811,0.35881902123861215,0.07153050914627633,222,5
150,ck4p_msp,nearest_centroid,0.35714285714285715,0.04075562613153915,0.3470485863346523,0.04595127641888446,222,5
150,ckmer5_count_l2,contract_logistic,0.3572486772486772,0.054802360470834234,0.3501145144236408,0.055012332177596816,504,5
150,ckmer5_count_l2,nearest_centroid,0.35703703703703704,0.06813337856317127,0.3461360293521235,0.07126710592550067,504,5
150,msp,contract_logistic,0.35079365079365077,0.05829617848351028,0.3401808345221511,0.057668483945553434,75,5
150,msp,nearest_centroid,0.3528042328042328,0.06019550466794791,0.3431168442781891,0.06048740425836097,75,5
150,p,contract_logistic,0.3496296296296296,0.03452423185562056,0.32203830864570476,0.04372728859360863,11,5
150,p,nearest_centroid,0.35343915343915344,0.04198910819067032,0.33258832874964184,0.04398229983176399,11,5
150,p_msp,contract_logistic,0.3529100529100529,0.05822610492003877,0.34350889486706465,0.06002347854653378,86,5
150,p_msp,nearest_centroid,0.35417989417989415,0.05728862295347297,0.34613048948916453,0.059334436191294186,86,5
