split,classifier,accuracy,macro_f1,n_features,task,length,condition,representation,n_samples,n_classes,accuracy_std,macro_f1_std
holdout,nearest_centroid,0.8333333333333334,0.8306878306878307,193,same_spectrum_order,69,clean,ckmer4_property_multiscale_mean_l2,160,2,,
holdout,logistic,0.9791666666666666,0.9791576204950065,193,same_spectrum_order,69,clean,ckmer4_property_multiscale_mean_l2,160,2,,
5fold_cv,nearest_centroid,0.94375,0.9436214133747342,193,same_spectrum_order,69,clean,ckmer4_property_multiscale_mean_l2,160,2,0.023385358667337132,0.023428054188348958
5fold_cv,logistic,0.9875,0.9874877810361682,193,same_spectrum_order,69,clean,ckmer4_property_multiscale_mean_l2,160,2,0.015309310892394862,0.015324276005681649
holdout,nearest_centroid,0.9375,0.9372549019607843,345,same_spectrum_order,69,clean,one_hot,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,345,same_spectrum_order,69,clean,one_hot,160,2,,
5fold_cv,nearest_centroid,0.975,0.974938761428325,345,same_spectrum_order,69,clean,one_hot,160,2,0.023385358667337135,0.023467271791602257
5fold_cv,logistic,0.9875,0.9874877810361682,345,same_spectrum_order,69,clean,one_hot,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.8958333333333334,0.8946906537955244,345,same_spectrum_order,69,clean,property_channels,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,345,same_spectrum_order,69,clean,property_channels,160,2,,
5fold_cv,nearest_centroid,0.93125,0.931133632338566,345,same_spectrum_order,69,clean,property_channels,160,2,0.041457809879442496,0.0416020676255177
5fold_cv,logistic,0.9875,0.9874877810361682,345,same_spectrum_order,69,clean,property_channels,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.9375,0.9372549019607843,690,same_spectrum_order,69,clean,base_property,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,690,same_spectrum_order,69,clean,base_property,160,2,,
5fold_cv,nearest_centroid,0.96875,0.9686826519464091,690,same_spectrum_order,69,clean,base_property,160,2,0.01976423537605237,0.01984179337222768
5fold_cv,logistic,0.9875,0.9874877810361682,690,same_spectrum_order,69,clean,base_property,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.9375,0.9372549019607843,1104,same_spectrum_order,69,clean,rope_onehot,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,1104,same_spectrum_order,69,clean,rope_onehot,160,2,,
5fold_cv,nearest_centroid,0.975,0.974938761428325,1104,same_spectrum_order,69,clean,rope_onehot,160,2,0.023385358667337135,0.023467271791602257
5fold_cv,logistic,0.99375,0.9937438905180841,1104,same_spectrum_order,69,clean,rope_onehot,160,2,0.012499999999999999,0.012512218963831857
holdout,nearest_centroid,0.9375,0.9372549019607843,1104,same_spectrum_order,69,clean,rope_property,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,1104,same_spectrum_order,69,clean,rope_property,160,2,,
5fold_cv,nearest_centroid,0.9625,0.9624387614283251,1104,same_spectrum_order,69,clean,rope_property,160,2,0.023385358667337132,0.023434629953320282
5fold_cv,logistic,0.99375,0.9937438905180841,1104,same_spectrum_order,69,clean,rope_property,160,2,0.012499999999999999,0.012512218963831857
holdout,nearest_centroid,0.9166666666666666,0.916083916083916,201,same_spectrum_order,69,clean,ckmer5_count_l2,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,201,same_spectrum_order,69,clean,ckmer5_count_l2,160,2,,
5fold_cv,nearest_centroid,0.975,0.9749877810361681,201,same_spectrum_order,69,clean,ckmer5_count_l2,160,2,0.023385358667337135,0.023388628882482915
5fold_cv,logistic,0.9875,0.9874877810361682,201,same_spectrum_order,69,clean,ckmer5_count_l2,160,2,0.015309310892394862,0.015324276005681649
holdout,nearest_centroid,0.8958333333333334,0.8954248366013071,1040,same_spectrum_order,69,clean,kmer_property,160,2,,
holdout,logistic,1.0,1.0,1040,same_spectrum_order,69,clean,kmer_property,160,2,,
5fold_cv,nearest_centroid,0.93125,0.9311459950549134,1040,same_spectrum_order,69,clean,kmer_property,160,2,0.03644344934278313,0.03647283589637839
5fold_cv,logistic,0.9875,0.9874877810361682,1040,same_spectrum_order,69,clean,kmer_property,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.8333333333333334,0.8306878306878307,193,same_spectrum_order,69,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,193,same_spectrum_order,69,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,,
5fold_cv,nearest_centroid,0.94375,0.9434734856628465,193,same_spectrum_order,69,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,0.023385358667337132,0.0236652678344336
5fold_cv,logistic,0.96875,0.9686826519464091,193,same_spectrum_order,69,N_3pct,ckmer4_property_multiscale_mean_l2,160,2,0.01976423537605237,0.019841793372227683
holdout,nearest_centroid,0.9375,0.9372549019607843,345,same_spectrum_order,69,N_3pct,one_hot,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,345,same_spectrum_order,69,N_3pct,one_hot,160,2,,
5fold_cv,nearest_centroid,0.975,0.974938761428325,345,same_spectrum_order,69,N_3pct,one_hot,160,2,0.023385358667337135,0.023467271791602257
5fold_cv,logistic,0.98125,0.9812316715542522,345,same_spectrum_order,69,N_3pct,one_hot,160,2,0.015309310892394862,0.015324276005681649
holdout,nearest_centroid,0.9166666666666666,0.916083916083916,345,same_spectrum_order,69,N_3pct,property_channels,160,2,,
holdout,logistic,0.9375,0.9372549019607843,345,same_spectrum_order,69,N_3pct,property_channels,160,2,,
5fold_cv,nearest_centroid,0.9375,0.9374755620723363,345,same_spectrum_order,69,N_3pct,property_channels,160,2,0.04419417382415922,0.044202827447072296
5fold_cv,logistic,0.95625,0.9562316715542523,345,same_spectrum_order,69,N_3pct,property_channels,160,2,0.015309310892394862,0.015294345779108078
holdout,nearest_centroid,0.9166666666666666,0.916083916083916,690,same_spectrum_order,69,N_3pct,base_property,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,690,same_spectrum_order,69,N_3pct,base_property,160,2,,
5fold_cv,nearest_centroid,0.96875,0.9686826519464091,690,same_spectrum_order,69,N_3pct,base_property,160,2,0.01976423537605237,0.01984179337222768
5fold_cv,logistic,0.975,0.9749755620723363,690,same_spectrum_order,69,N_3pct,base_property,160,2,0.0125,0.012512218963831857
holdout,nearest_centroid,0.9375,0.9372549019607843,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,,
5fold_cv,nearest_centroid,0.9625,0.9624265424644932,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,0.012499999999999999,0.012585820251854417
5fold_cv,logistic,0.9875,0.9874877810361682,1104,same_spectrum_order,69,N_3pct,rope_onehot,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.9166666666666666,0.916083916083916,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,,
holdout,logistic,0.9583333333333334,0.9582608695652174,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,,
5fold_cv,nearest_centroid,0.9625,0.9624387614283251,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,0.023385358667337132,0.023434629953320282
5fold_cv,logistic,0.9875,0.9874877810361682,1104,same_spectrum_order,69,N_3pct,rope_property,160,2,0.015309310892394862,0.01532427600568165
holdout,nearest_centroid,0.9583333333333334,0.9582608695652174,201,same_spectrum_order,69,N_3pct,ckmer5_count_l2,160,2,,
holdout,logistic,0.9375,0.9372549019607843,201,same_spectrum_order,69,N_3pct,ckmer5_count_l2,160,2,,
5fold_cv,nearest_centroid,0.9875,0.9874877810361682,201,same_spectrum_order,69,N_3pct,ckmer5_count_l2,160,2,0.015309310892394862,0.015324276005681649
