retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9763663700271309,0.920662900556009,0.15194003663876468,0.3983392646928766,0.34376834125041333,1.0,69,substitution_1pct,ckmer4_count_l2,400,136,0.35371323529411763,48.105
1.0,0.9974300274249696,0.9914656762397733,0.05006142708335899,0.13064689230208792,0.037849460719827824,1.0,69,substitution_1pct,ckmer4_property_l2,400,147,0.3952721088435374,58.105
1.0,0.9976444035290564,0.9922778199063781,0.04797287775453336,0.12427510151894168,0.036037804968560024,1.0,69,substitution_1pct,ckmer4_property_moment_l2,400,187,0.48170454545454544,90.07875
1.0,0.9976728855464125,0.992329296502267,0.047648910707883865,0.1238603691352458,0.03470586961410329,1.0,69,substitution_1pct,ckmer4_property_multiscale_mean_l2,400,222,0.5319200450450451,118.08625
1.0,0.9976714064829068,0.9923218261220124,0.04766527908277162,0.12392066414827436,0.03471800923344033,1.0,69,substitution_1pct,ckmer4_property_multiscale_l2,400,297,0.5994149831649832,178.02625
1.0,0.997561090839071,0.9919066308480167,0.04880591230978402,0.1272268334956549,0.035195366068658016,1.0,69,substitution_1pct,ckmer4_property_anchor_l2,400,225,0.5374611111111111,120.92875
1.0,0.9585296377493492,0.8591549295774652,0.2014549029023071,0.5307448924342754,0.5850027927017087,1.0,69,substitution_1pct,ckmer5_count_l2,400,512,0.11274169921875,57.72375
1.0,0.995906054098419,0.9862459498835596,0.06329138390459456,0.16585566011767247,0.05968191996194017,1.0,69,substitution_1pct,ckmer5_property_moment_l2,400,563,0.17708259325044404,99.6975
1.0,0.9959330570522694,0.9862725163153898,0.0630476376758777,0.16569540531510052,0.058336947951165376,1.0,69,substitution_1pct,ckmer5_property_multiscale_l2,400,673,0.2788187221396731,187.645
1.0,0.9958227414084335,0.9862365354626569,0.06393946540347367,0.1659124103112243,0.05876179793075933,1.0,69,substitution_1pct,ckmer5_property_anchor_l2,400,601,0.2172171381031614,130.5475
1.0,0.9972986058382736,0.990835532529369,0.051226151907100954,0.1353838313121131,0.04124737484891833,1.0,69,substitution_1pct,cspaced_property_l2,400,147,0.39107142857142857,57.4875
1.0,0.9779798325871595,0.9251419142064446,0.14681284926113558,0.3869317374157563,0.3133616428958103,1.0,69,substitution_1pct,hybrid:ckmer5_count_l2+ckmer4_property_l2,400,659,0.1757644157814871,115.82875
1.0,0.9780870206392028,0.9255402994600136,0.14646267285820708,0.38590073660830954,0.31252771477214175,1.0,69,substitution_1pct,hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,400,699,0.21144849785407727,147.8025
1.0,0.978100522116128,0.9255540341559979,0.14640967566065746,0.38586515404033744,0.31165289727785567,1.0,69,substitution_1pct,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,400,809,0.29140914709517923,235.75
1.0,0.9780453642942101,0.925525452126922,0.1466128341143317,0.3859392194042049,0.3118913140209361,1.0,69,substitution_1pct,hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,400,737,0.24240502035278155,178.6525
1.0,0.9650842090480761,0.9499067449909326,0.26160501739252234,0.31652195143876893,0.3391462777415019,1.0,69,N_3pct,ckmer4_count_l2,400,136,0.33902573529411767,46.1075
1.0,0.9944154157658184,0.9928012168358126,0.10526659902083699,0.11998982853930806,0.03780589581862735,1.0,69,N_3pct,ckmer4_property_l2,400,147,0.38508503401360544,56.6075
1.0,0.992594201944973,0.9898447458850247,0.12105745252426132,0.14251493888748193,0.03593010103571001,1.0,69,N_3pct,ckmer4_property_moment_l2,400,187,0.4924398395721925,92.08625
1.0,0.9948638376146008,0.9934258036480373,0.10097656837292916,0.11466634415930288,0.03465569663235609,1.0,69,N_3pct,ckmer4_property_multiscale_mean_l2,400,222,0.5405011261261261,119.99125
1.0,0.9943939114075705,0.9929598593878378,0.1055592396380154,0.11866026561566097,0.03466084176127268,1.0,69,N_3pct,ckmer4_property_multiscale_l2,400,297,0.617293771043771,183.33625
1.0,0.9942536230347594,0.9926667526247462,0.10679954014869225,0.1211052986087044,0.03498856728606792,1.0,69,N_3pct,ckmer4_property_anchor_l2,400,225,0.5543944444444444,124.73875
