length,condition,condition_label,method,pattern,cardinality,span,role,add_property,n_pairs,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1,n_features
69,N_3pct,3% N mask,canonical spaced,0-1-2,3,3,cardinality sanity check,False,240,0.9871904515322538,0.9786823990815133,0.1573805082930529,0.20648217577314,1.0,32
69,N_3pct,3% N mask,canonical spaced + property,0-1-2,3,3,cardinality sanity check,True,240,0.9968460954890304,0.9959167646554721,0.07919403109766608,0.09036850899653208,1.0,43
69,N_3pct,3% N mask,canonical spaced,0-2-4,3,5,cardinality sanity check,False,240,0.986243762594327,0.9782481210301458,0.16329835254596448,0.2085748608503264,1.0,32
69,N_3pct,3% N mask,canonical spaced + property,0-2-4,3,5,cardinality sanity check,True,240,0.9967441456922512,0.9959108182436602,0.08044773148517935,0.09043430418430305,1.0,43
69,N_3pct,3% N mask,canonical spaced,0-3-6,3,7,cardinality sanity check,False,240,0.9861202219974042,0.9763738567385465,0.16321955094884963,0.21736979883565796,1.0,32
69,N_3pct,3% N mask,canonical spaced + property,0-3-6,3,7,cardinality sanity check,True,240,0.9967335632881702,0.9956856057388174,0.08052414749717161,0.09289039387919851,1.0,43
69,N_3pct,3% N mask,canonical spaced,0-1-2-3,4,4,primary four-position scan,False,240,0.9642923873196196,0.9503208324846448,0.2647126893506917,0.31521155218728325,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-1-2-3,4,4,primary four-position scan,True,240,0.9943684735783599,0.9927902267465487,0.10571031189338824,0.12008141556844552,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-1-3-6,4,7,primary four-position scan,False,240,0.9624835733759534,0.9468621909012237,0.27124371871493125,0.32599941335766874,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-1-3-6,4,7,primary four-position scan,True,240,0.994175039247158,0.9926363611889756,0.10749210573735667,0.12135592070294278,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-2-4-6,4,7,primary four-position scan,False,240,0.9617202611556288,0.9445990013745672,0.2736972740446616,0.332866334913738,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-2-4-6,4,7,primary four-position scan,True,240,0.9940838604792674,0.992088968088146,0.10823244051337647,0.12578575291697358,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-1-4-7,4,8,primary four-position scan,False,240,0.9621112758955266,0.9460858853272566,0.2724703641202571,0.32837208977848104,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-1-4-7,4,8,primary four-position scan,True,240,0.9941326404151596,0.992614882749994,0.1078539943627475,0.1215326976564959,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-2-5-7,4,8,primary four-position scan,False,240,0.9617778048295629,0.9426077789416936,0.2733929687394977,0.33879842742770944,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-2-5-7,4,8,primary four-position scan,True,240,0.9940948142052679,0.9921797107454013,0.10811805724331008,0.12506224910189775,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-2-5-8,4,9,primary four-position scan,False,240,0.9619787483908494,0.9443317030781486,0.2727355753143136,0.33367136391564506,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-2-5-8,4,9,primary four-position scan,True,240,0.9941180177807502,0.9923585717370942,0.10794173116475662,0.1236233593796296,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-3-5-8,4,9,primary four-position scan,False,240,0.9614222339137417,0.9432915352570382,0.27449301224070727,0.3367734727742468,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-3-5-8,4,9,primary four-position scan,True,240,0.9940547661952926,0.991731008396905,0.10845239122591692,0.12860008568265155,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-3-6-9,4,10,primary four-position scan,False,240,0.9626056491171535,0.9435051163598522,0.26983329938298933,0.33613940278332527,1.0,136
69,N_3pct,3% N mask,canonical spaced + property,0-3-6-9,4,10,primary four-position scan,True,240,0.994189569860796,0.9922732587359384,0.10718641995781443,0.12431201578707862,1.0,147
69,N_3pct,3% N mask,canonical spaced,0-1-2-3-4,5,5,cardinality sanity check,False,240,0.9384690620990459,0.9188917168084233,0.34767383338913327,0.4027611778500445,1.0,512
69,N_3pct,3% N mask,canonical spaced + property,0-1-2-3-4,5,5,cardinality sanity check,True,240,0.9915629498823207,0.9895644578061197,0.12920098728316318,0.14446791722431815,1.0,523
69,N_3pct,3% N mask,canonical spaced,0-1-3-6-9,5,10,cardinality sanity check,False,240,0.9372128382563323,0.915842124982508,0.3508965300283825,0.4102630250594556,1.0,512
69,N_3pct,3% N mask,canonical spaced + property,0-1-3-6-9,5,10,cardinality sanity check,True,240,0.9914338359727703,0.9891447519915324,0.13014019046112113,0.14734480277461875,1.0,523
69,N_3pct,3% N mask,canonical spaced,0-2-4-6-8,5,9,cardinality sanity check,False,240,0.9349956329651384,0.9061882438003235,0.35649196979560915,0.4331552982468903,1.0,512
69,N_3pct,3% N mask,canonical spaced + property,0-2-4-6-8,5,9,cardinality sanity check,True,240,0.9911697478278323,0.9878665345634166,0.13188308601047335,0.15577826384526583,1.0,523
69,substitution_1pct,1% substitution,canonical spaced,0-1-2,3,3,cardinality sanity check,False,240,0.9912868059926851,0.9702266220553974,0.09220482437869272,0.24401969567795642,1.0,32
69,substitution_1pct,1% substitution,canonical spaced + property,0-1-2,3,3,cardinality sanity check,True,240,0.9990525410024115,0.9966363536579691,0.030435128437068217,0.08201999702538675,1.0,43
